Glen Johnson,STK,5.0,,Defender,"(WAT-H,NEW-A,CHE-H)","[Game vs. BOU H: 5 pts, Game vs. AVL A: 12 pts, Game vs. SWA A: 6 pts]",100.0,100.0,499,3.63139614097
Diafra Sakho,WHU,6.7,,Forward,"(CHE-H,WAT-A,EVE-H)","[Game vs. NOR H: 6 pts, Game vs. SUN A: 2 pts, Game vs. CRY A: 2 pts]",100.0,100.0,485,3.61287583292
Yann M'Vila,SUN,5.0,,Midfielder,"(NEW-H,EVE-A,SOU-H)","[Game vs. MUN A: 2 pts, Game vs. WHU H: 10 pts, Game vs. WBA A: 2 pts]",75.0,100.0,544,3.59310947923
Cédric Soares,SOU,5.0,,Defender,"(LIV-A,BOU-H,SUN-A)","[Game vs. SWA H: 2 pts, Game vs. CHE A: 2 pts, Game vs. LEI H: 1 pts]",,,307,3.59162201842
Heurelho Gomes,WAT,4.6,,Goalkeeper,"(STK-A,WHU-H,LEI-A)","[Game vs. CRY H: 2 pts, Game vs. BOU A: 9 pts, Game vs. ARS H: 1 pts]",,,421,3.57246989963
Kyle Walker,TOT,5.0,,Defender,"(BOU-A,AVL-H,ARS-A)","[Game vs. MCI H: 2 pts, Game vs. SWA A: 0 pts, Game vs. LIV H: 6 pts]",,,327,3.56476591752
Willian Borges Da Silva,CHE,6.8,,Midfielder,"(WHU-A,LIV-H,STK-A)","[Game vs. NEW A: 8 pts, Game vs. SOU H: 7 pts, Game vs. AVL H: 7 pts]",100.0,100.0,90,3.53531034861
Simon Mignolet,LIV,5.1,,Goalkeeper,"(SOU-H,CHE-A,CRY-H)","[Game vs. AVL H: 1 pts, Game vs. EVE A: 3 pts, Game vs. TOT A: 7 pts]",,,175,3.52114024136
Mark Noble,WHU,5.5,,Midfielder,"(CHE-H,WAT-A,EVE-H)","[Game vs. NOR H: 2 pts, Game vs. SUN A: 1 pts, Game vs. CRY A: 2 pts]",100.0,100.0,475,3.48905216049
Ayoze Pérez Gutiérrez,NEW,5.1,,Forward,"(SUN-A,STK-H,BOU-A)","[Game vs. CHE H: 12 pts, Game vs. MCI A: 2 pts, Game vs. NOR H: 10 pts]",,,273,3.48886568189
